metier,present,dans_cdc,types,chemins
journalisme,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/journalisme; Dihya/frontend/src/components/metiers/journalisme/index.js; Dihya/frontend/src/tests/integration/journalisme; Dihya/frontend/src/tests/integration/journalisme/test_journalisme.js; Dihya/frontend/src/generation/templates/journalisme; Dihya/frontend/src/generation/templates/journalisme/template.js; Dihya/backend/tests/integration/journalisme; Dihya/backend/tests/integration/journalisme/test_journalisme_backend.py; Dihya/backend/django/tests/integration/journalisme; Dihya/backend/django/tests/integration/journalisme/test_journalisme_django.py; Dihya/backend/django/app/tests/integration/journalisme; Dihya/backend/django/app/tests/integration/journalisme/test_journalisme_django.py; Dihya/backend/django/app/templates/journalisme; Dihya/backend/django/app/templates/journalisme/template.py; Dihya/backend/django/app/routes/journalisme; Dihya/backend/django/app/routes/journalisme/routes.py; Dihya/backend/django/routes/journalisme; Dihya/backend/django/routes/journalisme/routes.py; Dihya/backend/flask/tests/integration/journalisme; Dihya/backend/flask/tests/integration/journalisme/test_journalisme_flask.py; Dihya/backend/flask/app/tests/integration/journalisme; Dihya/backend/flask/app/tests/integration/journalisme/test_journalisme_flask.py; Dihya/backend/flask/app/templates/journalisme; Dihya/backend/flask/app/templates/journalisme/template.py; Dihya/backend/flask/app/routes/journalisme; Dihya/backend/flask/app/routes/journalisme/routes.py; Dihya/backend/flask/routes/journalisme; Dihya/backend/flask/routes/journalisme/routes.py; Dihya/backend/routes/journalisme; Dihya/backend/routes/journalisme/routes.py; Dihya/backend/node/tests/integration/journalisme; Dihya/backend/node/tests/integration/journalisme/test_journalisme.js; Dihya/backend/node/app/tests/integration/journalisme; Dihya/backend/node/app/tests/integration/journalisme/test_journalisme.js; Dihya/backend/node/app/templates/journalisme; Dihya/backend/node/app/templates/journalisme/template.js; Dihya/backend/node/app/routes/journalisme; Dihya/backend/node/app/routes/journalisme/routes.js; Dihya/backend/node/routes/journalisme; Dihya/backend/node/routes/journalisme/routes.js; Dihya/docs/metiers/journalisme.md; docs/metiers/journalisme.md
juridique,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/juridique; Dihya/frontend/src/components/metiers/juridique/index.js; Dihya/frontend/src/tests/integration/juridique; Dihya/frontend/src/tests/integration/juridique/test_juridique.js; Dihya/frontend/src/generation/templates/juridique; Dihya/frontend/src/generation/templates/juridique/template.js; Dihya/backend/tests/integration/juridique; Dihya/backend/tests/integration/juridique/test_juridique_backend.py; Dihya/backend/django/tests/integration/juridique; Dihya/backend/django/tests/integration/juridique/test_juridique_django.py; Dihya/backend/django/app/tests/integration/juridique; Dihya/backend/django/app/tests/integration/juridique/test_juridique_django.py; Dihya/backend/django/app/templates/juridique; Dihya/backend/django/app/templates/juridique/template.py; Dihya/backend/django/app/routes/juridique; Dihya/backend/django/app/routes/juridique/routes.py; Dihya/backend/django/routes/juridique; Dihya/backend/django/routes/juridique/routes.py; Dihya/backend/flask/tests/integration/juridique; Dihya/backend/flask/tests/integration/juridique/test_juridique_flask.py; Dihya/backend/flask/app/tests/integration/juridique; Dihya/backend/flask/app/tests/integration/juridique/test_juridique_flask.py; Dihya/backend/flask/app/templates/juridique; Dihya/backend/flask/app/templates/juridique/template.py; Dihya/backend/flask/app/routes/juridique; Dihya/backend/flask/app/routes/juridique/routes.py; Dihya/backend/flask/routes/juridique; Dihya/backend/flask/routes/juridique/routes.py; Dihya/backend/routes/juridique; Dihya/backend/routes/juridique/routes.py; Dihya/backend/node/tests/integration/juridique; Dihya/backend/node/tests/integration/juridique/test_juridique.js; Dihya/backend/node/app/tests/integration/juridique; Dihya/backend/node/app/tests/integration/juridique/test_juridique.js; Dihya/backend/node/app/templates/juridique; Dihya/backend/node/app/templates/juridique/template.js; Dihya/backend/node/app/routes/juridique; Dihya/backend/node/app/routes/juridique/routes.js; Dihya/backend/node/routes/juridique; Dihya/backend/node/routes/juridique/routes.js; Dihya/docs/metiers/juridique.md; docs/metiers/juridique.md
logistique,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/logistique; Dihya/frontend/src/components/metiers/logistique/index.js; Dihya/frontend/src/tests/integration/logistique; Dihya/frontend/src/tests/integration/logistique/test_logistique.js; Dihya/frontend/src/generation/templates/logistique; Dihya/frontend/src/generation/templates/logistique/template.js; Dihya/backend/tests/integration/logistique; Dihya/backend/tests/integration/logistique/test_logistique_backend.py; Dihya/backend/django/tests/integration/logistique; Dihya/backend/django/tests/integration/logistique/test_logistique_django.py; Dihya/backend/django/app/tests/integration/logistique; Dihya/backend/django/app/tests/integration/logistique/test_logistique_django.py; Dihya/backend/django/app/templates/logistique; Dihya/backend/django/app/templates/logistique/template.py; Dihya/backend/django/app/routes/logistique; Dihya/backend/django/app/routes/logistique/routes.py; Dihya/backend/django/routes/logistique; Dihya/backend/django/routes/logistique/routes.py; Dihya/backend/flask/tests/integration/logistique; Dihya/backend/flask/tests/integration/logistique/test_logistique_flask.py; Dihya/backend/flask/app/tests/integration/logistique; Dihya/backend/flask/app/tests/integration/logistique/test_logistique_flask.py; Dihya/backend/flask/app/templates/logistique; Dihya/backend/flask/app/templates/logistique/template.py; Dihya/backend/flask/app/routes/logistique; Dihya/backend/flask/app/routes/logistique/routes.py; Dihya/backend/flask/routes/logistique; Dihya/backend/flask/routes/logistique/routes.py; Dihya/backend/routes/logistique; Dihya/backend/routes/logistique/routes.py; Dihya/backend/node/tests/integration/logistique; Dihya/backend/node/tests/integration/logistique/test_logistique.js; Dihya/backend/node/app/tests/integration/logistique; Dihya/backend/node/app/tests/integration/logistique/test_logistique.js; Dihya/backend/node/app/templates/logistique; Dihya/backend/node/app/templates/logistique/template.js; Dihya/backend/node/app/routes/logistique; Dihya/backend/node/app/routes/logistique/routes.js; Dihya/backend/node/routes/logistique; Dihya/backend/node/routes/logistique/routes.js; Dihya/docs/metiers/logistique.md; docs/metiers/logistique.md
loisirs,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/loisirs; Dihya/frontend/src/components/metiers/loisirs/index.js; Dihya/frontend/src/tests/integration/loisirs; Dihya/frontend/src/tests/integration/loisirs/test_loisirs.js; Dihya/frontend/src/generation/templates/loisirs; Dihya/frontend/src/generation/templates/loisirs/template.js; Dihya/backend/tests/integration/loisirs; Dihya/backend/tests/integration/loisirs/test_loisirs_backend.py; Dihya/backend/django/tests/integration/loisirs; Dihya/backend/django/tests/integration/loisirs/test_loisirs_django.py; Dihya/backend/django/app/tests/integration/loisirs; Dihya/backend/django/app/tests/integration/loisirs/test_loisirs_django.py; Dihya/backend/django/app/templates/loisirs; Dihya/backend/django/app/templates/loisirs/template.py; Dihya/backend/django/app/routes/loisirs; Dihya/backend/django/app/routes/loisirs/routes.py; Dihya/backend/django/routes/loisirs; Dihya/backend/django/routes/loisirs/routes.py; Dihya/backend/flask/tests/integration/loisirs; Dihya/backend/flask/tests/integration/loisirs/test_loisirs_flask.py; Dihya/backend/flask/app/tests/integration/loisirs; Dihya/backend/flask/app/tests/integration/loisirs/test_loisirs_flask.py; Dihya/backend/flask/app/templates/loisirs; Dihya/backend/flask/app/templates/loisirs/template.py; Dihya/backend/flask/app/routes/loisirs; Dihya/backend/flask/app/routes/loisirs/routes.py; Dihya/backend/flask/routes/loisirs; Dihya/backend/flask/routes/loisirs/routes.py; Dihya/backend/routes/loisirs; Dihya/backend/routes/loisirs/routes.py; Dihya/backend/node/tests/integration/loisirs; Dihya/backend/node/tests/integration/loisirs/test_loisirs.js; Dihya/backend/node/app/tests/integration/loisirs; Dihya/backend/node/app/tests/integration/loisirs/test_loisirs.js; Dihya/backend/node/app/templates/loisirs; Dihya/backend/node/app/templates/loisirs/template.js; Dihya/backend/node/app/routes/loisirs; Dihya/backend/node/app/routes/loisirs/routes.js; Dihya/backend/node/routes/loisirs; Dihya/backend/node/routes/loisirs/routes.js; Dihya/docs/metiers/loisirs.md; docs/metiers/loisirs.md
manufacturing,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/manufacturing; Dihya/frontend/src/components/metiers/manufacturing/index.js; Dihya/frontend/src/tests/integration/manufacturing; Dihya/frontend/src/tests/integration/manufacturing/test_manufacturing.js; Dihya/frontend/src/generation/templates/manufacturing; Dihya/frontend/src/generation/templates/manufacturing/template.js; Dihya/backend/tests/integration/manufacturing; Dihya/backend/tests/integration/manufacturing/test_manufacturing_backend.py; Dihya/backend/django/tests/integration/manufacturing; Dihya/backend/django/tests/integration/manufacturing/test_manufacturing_django.py; Dihya/backend/django/app/tests/integration/manufacturing; Dihya/backend/django/app/tests/integration/manufacturing/test_manufacturing_django.py; Dihya/backend/django/app/templates/manufacturing; Dihya/backend/django/app/templates/manufacturing/template.py; Dihya/backend/django/app/routes/manufacturing; Dihya/backend/django/app/routes/manufacturing/routes.py; Dihya/backend/django/routes/manufacturing; Dihya/backend/django/routes/manufacturing/routes.py; Dihya/backend/flask/tests/integration/manufacturing; Dihya/backend/flask/tests/integration/manufacturing/test_manufacturing_flask.py; Dihya/backend/flask/app/tests/integration/manufacturing; Dihya/backend/flask/app/tests/integration/manufacturing/test_manufacturing_flask.py; Dihya/backend/flask/app/templates/manufacturing; Dihya/backend/flask/app/templates/manufacturing/template.py; Dihya/backend/flask/app/routes/manufacturing; Dihya/backend/flask/app/routes/manufacturing/routes.py; Dihya/backend/flask/routes/manufacturing; Dihya/backend/flask/routes/manufacturing/routes.py; Dihya/backend/routes/manufacturing; Dihya/backend/routes/manufacturing/routes.py; Dihya/backend/node/tests/integration/manufacturing; Dihya/backend/node/tests/integration/manufacturing/test_manufacturing.js; Dihya/backend/node/app/tests/integration/manufacturing; Dihya/backend/node/app/tests/integration/manufacturing/test_manufacturing.js; Dihya/backend/node/app/templates/manufacturing; Dihya/backend/node/app/templates/manufacturing/template.js; Dihya/backend/node/app/routes/manufacturing; Dihya/backend/node/app/routes/manufacturing/routes.js; Dihya/backend/node/routes/manufacturing; Dihya/backend/node/routes/manufacturing/routes.js; Dihya/docs/metiers/manufacturing.md; docs/metiers/manufacturing.md
marketing,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/marketing; Dihya/frontend/src/components/metiers/marketing/index.js; Dihya/frontend/src/tests/integration/marketing; Dihya/frontend/src/tests/integration/marketing/test_marketing.js; Dihya/frontend/src/generation/templates/marketing; Dihya/frontend/src/generation/templates/marketing/template.js; Dihya/backend/tests/integration/marketing; Dihya/backend/tests/integration/marketing/test_marketing_backend.py; Dihya/backend/django/tests/integration/marketing; Dihya/backend/django/tests/integration/marketing/test_marketing_django.py; Dihya/backend/django/app/tests/integration/marketing; Dihya/backend/django/app/tests/integration/marketing/test_marketing_django.py; Dihya/backend/django/app/templates/marketing; Dihya/backend/django/app/templates/marketing/template.py; Dihya/backend/django/app/routes/marketing; Dihya/backend/django/app/routes/marketing/routes.py; Dihya/backend/django/routes/marketing; Dihya/backend/django/routes/marketing/routes.py; Dihya/backend/flask/tests/integration/marketing; Dihya/backend/flask/tests/integration/marketing/test_marketing_flask.py; Dihya/backend/flask/app/tests/integration/marketing; Dihya/backend/flask/app/tests/integration/marketing/test_marketing_flask.py; Dihya/backend/flask/app/templates/marketing; Dihya/backend/flask/app/templates/marketing/template.py; Dihya/backend/flask/app/routes/marketing; Dihya/backend/flask/app/routes/marketing/routes.py; Dihya/backend/flask/routes/marketing; Dihya/backend/flask/routes/marketing/routes.py; Dihya/backend/routes/marketing; Dihya/backend/routes/marketing/routes.py; Dihya/backend/node/tests/integration/marketing; Dihya/backend/node/tests/integration/marketing/test_marketing.js; Dihya/backend/node/app/tests/integration/marketing; Dihya/backend/node/app/tests/integration/marketing/test_marketing.js; Dihya/backend/node/app/templates/marketing; Dihya/backend/node/app/templates/marketing/template.js; Dihya/backend/node/app/routes/marketing; Dihya/backend/node/app/routes/marketing/routes.js; Dihya/backend/node/routes/marketing; Dihya/backend/node/routes/marketing/routes.js; Dihya/docs/metiers/marketing.md; docs/metiers/marketing.md
medias,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/medias; Dihya/frontend/src/components/metiers/medias/index.js; Dihya/frontend/src/tests/integration/medias; Dihya/frontend/src/tests/integration/medias/test_medias.js; Dihya/frontend/src/generation/templates/medias; Dihya/frontend/src/generation/templates/medias/template.js; Dihya/backend/tests/integration/medias; Dihya/backend/tests/integration/medias/test_medias_backend.py; Dihya/backend/django/tests/integration/medias; Dihya/backend/django/tests/integration/medias/test_medias_django.py; Dihya/backend/django/app/tests/integration/medias; Dihya/backend/django/app/tests/integration/medias/test_medias_django.py; Dihya/backend/django/app/templates/medias; Dihya/backend/django/app/templates/medias/template.py; Dihya/backend/django/app/routes/medias; Dihya/backend/django/app/routes/medias/routes.py; Dihya/backend/django/routes/medias; Dihya/backend/django/routes/medias/routes.py; Dihya/backend/flask/tests/integration/medias; Dihya/backend/flask/tests/integration/medias/test_medias_flask.py; Dihya/backend/flask/app/tests/integration/medias; Dihya/backend/flask/app/tests/integration/medias/test_medias_flask.py; Dihya/backend/flask/app/templates/medias; Dihya/backend/flask/app/templates/medias/template.py; Dihya/backend/flask/app/routes/medias; Dihya/backend/flask/app/routes/medias/routes.py; Dihya/backend/flask/routes/medias; Dihya/backend/flask/routes/medias/routes.py; Dihya/backend/routes/medias; Dihya/backend/routes/medias/routes.py; Dihya/backend/node/tests/integration/medias; Dihya/backend/node/tests/integration/medias/test_medias.js; Dihya/backend/node/app/tests/integration/medias; Dihya/backend/node/app/tests/integration/medias/test_medias.js; Dihya/backend/node/app/templates/medias; Dihya/backend/node/app/templates/medias/template.js; Dihya/backend/node/app/routes/medias; Dihya/backend/node/app/routes/medias/routes.js; Dihya/backend/node/routes/medias; Dihya/backend/node/routes/medias/routes.js; Dihya/docs/metiers/medias.md; docs/metiers/medias.md
metiers,oui,non,"dossier,plugin",Dihya/plugins/metiers; Dihya/plugins/metiers/3d_plugin.py; Dihya/plugins/metiers/vr_ar_plugin.py; Dihya/plugins/metiers/CONTRIBUTING.md; Dihya/plugins/metiers/README.md; Dihya/plugins/metiers/example_plugin.py
mobile,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/mobile; Dihya/frontend/src/components/metiers/mobile/index.js; Dihya/frontend/src/tests/integration/mobile; Dihya/frontend/src/tests/integration/mobile/test_mobile.js; Dihya/frontend/src/generation/templates/mobile; Dihya/frontend/src/generation/templates/mobile/template.js; Dihya/backend/tests/integration/mobile; Dihya/backend/tests/integration/mobile/test_mobile_backend.py; Dihya/backend/django/tests/integration/mobile; Dihya/backend/django/tests/integration/mobile/test_mobile_django.py; Dihya/backend/django/app/tests/integration/mobile; Dihya/backend/django/app/tests/integration/mobile/test_mobile_django.py; Dihya/backend/django/app/templates/mobile; Dihya/backend/django/app/templates/mobile/template.py; Dihya/backend/django/app/routes/mobile; Dihya/backend/django/app/routes/mobile/routes.py; Dihya/backend/django/routes/mobile; Dihya/backend/django/routes/mobile/routes.py; Dihya/backend/flask/tests/integration/mobile; Dihya/backend/flask/tests/integration/mobile/test_mobile_flask.py; Dihya/backend/flask/app/tests/integration/mobile; Dihya/backend/flask/app/tests/integration/mobile/test_mobile_flask.py; Dihya/backend/flask/app/templates/mobile; Dihya/backend/flask/app/templates/mobile/template.py; Dihya/backend/flask/app/routes/mobile; Dihya/backend/flask/app/routes/mobile/routes.py; Dihya/backend/flask/routes/mobile; Dihya/backend/flask/routes/mobile/routes.py; Dihya/backend/routes/mobile; Dihya/backend/routes/mobile/routes.py; Dihya/backend/node/tests/integration/mobile; Dihya/backend/node/tests/integration/mobile/test_mobile.js; Dihya/backend/node/app/tests/integration/mobile; Dihya/backend/node/app/tests/integration/mobile/test_mobile.js; Dihya/backend/node/app/templates/mobile; Dihya/backend/node/app/templates/mobile/template.js; Dihya/backend/node/app/routes/mobile; Dihya/backend/node/app/routes/mobile/routes.js; Dihya/backend/node/routes/mobile; Dihya/backend/node/routes/mobile/routes.js; Dihya/docs/metiers/mobile.md; docs/metiers/mobile.md
mode,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/mode; Dihya/frontend/src/components/metiers/mode/index.js; Dihya/frontend/src/tests/integration/mode; Dihya/frontend/src/tests/integration/mode/test_mode.js; Dihya/frontend/src/generation/templates/mode; Dihya/frontend/src/generation/templates/mode/template.js; Dihya/backend/tests/integration/mode; Dihya/backend/tests/integration/mode/test_mode_backend.py; Dihya/backend/django/tests/integration/mode; Dihya/backend/django/tests/integration/mode/test_mode_django.py; Dihya/backend/django/app/tests/integration/mode; Dihya/backend/django/app/tests/integration/mode/test_mode_django.py; Dihya/backend/django/app/templates/mode; Dihya/backend/django/app/templates/mode/template.py; Dihya/backend/django/app/routes/mode; Dihya/backend/django/app/routes/mode/routes.py; Dihya/backend/django/routes/mode; Dihya/backend/django/routes/mode/routes.py; Dihya/backend/flask/tests/integration/mode; Dihya/backend/flask/tests/integration/mode/test_mode_flask.py; Dihya/backend/flask/app/tests/integration/mode; Dihya/backend/flask/app/tests/integration/mode/test_mode_flask.py; Dihya/backend/flask/app/templates/mode; Dihya/backend/flask/app/templates/mode/template.py; Dihya/backend/flask/app/routes/mode; Dihya/backend/flask/app/routes/mode/routes.py; Dihya/backend/flask/routes/mode; Dihya/backend/flask/routes/mode/routes.py; Dihya/backend/routes/mode; Dihya/backend/routes/mode/routes.py; Dihya/backend/node/tests/integration/mode; Dihya/backend/node/tests/integration/mode/test_mode.js; Dihya/backend/node/app/tests/integration/mode; Dihya/backend/node/app/tests/integration/mode/test_mode.js; Dihya/backend/node/app/templates/mode; Dihya/backend/node/app/templates/mode/template.js; Dihya/backend/node/app/routes/mode; Dihya/backend/node/app/routes/mode/routes.js; Dihya/backend/node/routes/mode; Dihya/backend/node/routes/mode/routes.js; Dihya/docs/metiers/mode.md; docs/metiers/mode.md
models,oui,non,dossier,Dihya/backend/flask/app/templates/health/backend/models
plugins,oui,non,dossier,Dihya/backend/assets/scripts/routes/vr_ar/plugins
preview,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/preview; Dihya/frontend/src/components/metiers/preview/index.js; Dihya/frontend/src/tests/integration/preview; Dihya/frontend/src/tests/integration/preview/test_preview.js; Dihya/frontend/src/generation/templates/preview; Dihya/frontend/src/generation/templates/preview/template.js; Dihya/backend/tests/integration/preview; Dihya/backend/tests/integration/preview/test_preview_backend.py; Dihya/backend/django/tests/integration/preview; Dihya/backend/django/tests/integration/preview/test_preview_django.py; Dihya/backend/django/app/tests/integration/preview; Dihya/backend/django/app/tests/integration/preview/test_preview_django.py; Dihya/backend/django/app/templates/preview; Dihya/backend/django/app/templates/preview/template.py; Dihya/backend/django/app/routes/preview; Dihya/backend/django/app/routes/preview/routes.py; Dihya/backend/django/routes/preview; Dihya/backend/django/routes/preview/routes.py; Dihya/backend/flask/tests/integration/preview; Dihya/backend/flask/tests/integration/preview/test_preview_flask.py; Dihya/backend/flask/app/tests/integration/preview; Dihya/backend/flask/app/tests/integration/preview/test_preview_flask.py; Dihya/backend/flask/app/templates/preview; Dihya/backend/flask/app/templates/preview/template.py; Dihya/backend/flask/app/routes/preview; Dihya/backend/flask/app/routes/preview/routes.py; Dihya/backend/flask/routes/preview; Dihya/backend/flask/routes/preview/routes.py; Dihya/backend/routes/preview; Dihya/backend/routes/preview/routes.py; Dihya/backend/node/tests/integration/preview; Dihya/backend/node/tests/integration/preview/test_preview.js; Dihya/backend/node/app/tests/integration/preview; Dihya/backend/node/app/tests/integration/preview/test_preview.js; Dihya/backend/node/app/templates/preview; Dihya/backend/node/app/templates/preview/template.js; Dihya/backend/node/app/routes/preview; Dihya/backend/node/app/routes/preview/routes.js; Dihya/backend/node/routes/preview; Dihya/backend/node/routes/preview/routes.js; Dihya/docs/metiers/preview.md; docs/metiers/preview.md
publicite,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/publicite; Dihya/frontend/src/components/metiers/publicite/index.js; Dihya/frontend/src/tests/integration/publicite; Dihya/frontend/src/tests/integration/publicite/test_publicite.js; Dihya/frontend/src/generation/templates/publicite; Dihya/frontend/src/generation/templates/publicite/template.js; Dihya/backend/tests/integration/publicite; Dihya/backend/tests/integration/publicite/test_publicite_backend.py; Dihya/backend/django/tests/integration/publicite; Dihya/backend/django/tests/integration/publicite/test_publicite_django.py; Dihya/backend/django/app/tests/integration/publicite; Dihya/backend/django/app/tests/integration/publicite/test_publicite_django.py; Dihya/backend/django/app/templates/publicite; Dihya/backend/django/app/templates/publicite/template.py; Dihya/backend/django/app/routes/publicite; Dihya/backend/django/app/routes/publicite/routes.py; Dihya/backend/django/routes/publicite; Dihya/backend/django/routes/publicite/routes.py; Dihya/backend/flask/tests/integration/publicite; Dihya/backend/flask/tests/integration/publicite/test_publicite_flask.py; Dihya/backend/flask/app/tests/integration/publicite; Dihya/backend/flask/app/tests/integration/publicite/test_publicite_flask.py; Dihya/backend/flask/app/templates/publicite; Dihya/backend/flask/app/templates/publicite/template.py; Dihya/backend/flask/app/routes/publicite; Dihya/backend/flask/app/routes/publicite/routes.py; Dihya/backend/flask/routes/publicite; Dihya/backend/flask/routes/publicite/routes.py; Dihya/backend/routes/publicite; Dihya/backend/routes/publicite/routes.py; Dihya/backend/node/tests/integration/publicite; Dihya/backend/node/tests/integration/publicite/test_publicite.js; Dihya/backend/node/app/tests/integration/publicite; Dihya/backend/node/app/tests/integration/publicite/test_publicite.js; Dihya/backend/node/app/templates/publicite; Dihya/backend/node/app/templates/publicite/template.js; Dihya/backend/node/app/routes/publicite; Dihya/backend/node/app/routes/publicite/routes.js; Dihya/backend/node/routes/publicite; Dihya/backend/node/routes/publicite/routes.js; Dihya/docs/metiers/publicite.md; docs/metiers/publicite.md
readme,oui,non,doc,Dihya/docs/metiers/README.md
recherche,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/recherche; Dihya/frontend/src/components/metiers/recherche/index.js; Dihya/frontend/src/tests/integration/recherche; Dihya/frontend/src/tests/integration/recherche/test_recherche.js; Dihya/frontend/src/generation/templates/recherche; Dihya/frontend/src/generation/templates/recherche/template.js; Dihya/backend/tests/integration/recherche; Dihya/backend/tests/integration/recherche/test_recherche_backend.py; Dihya/backend/django/tests/integration/recherche; Dihya/backend/django/tests/integration/recherche/test_recherche_django.py; Dihya/backend/django/app/tests/integration/recherche; Dihya/backend/django/app/tests/integration/recherche/test_recherche_django.py; Dihya/backend/django/app/templates/recherche; Dihya/backend/django/app/templates/recherche/template.py; Dihya/backend/django/app/routes/recherche; Dihya/backend/django/app/routes/recherche/routes.py; Dihya/backend/django/routes/recherche; Dihya/backend/django/routes/recherche/routes.py; Dihya/backend/flask/tests/integration/recherche; Dihya/backend/flask/tests/integration/recherche/test_recherche_flask.py; Dihya/backend/flask/app/tests/integration/recherche; Dihya/backend/flask/app/tests/integration/recherche/test_recherche_flask.py; Dihya/backend/flask/app/templates/recherche; Dihya/backend/flask/app/templates/recherche/template.py; Dihya/backend/flask/app/routes/recherche; Dihya/backend/flask/app/routes/recherche/routes.py; Dihya/backend/flask/routes/recherche; Dihya/backend/flask/routes/recherche/routes.py; Dihya/backend/routes/recherche; Dihya/backend/routes/recherche/routes.py; Dihya/backend/node/tests/integration/recherche; Dihya/backend/node/tests/integration/recherche/test_recherche.js; Dihya/backend/node/app/tests/integration/recherche; Dihya/backend/node/app/tests/integration/recherche/test_recherche.js; Dihya/backend/node/app/templates/recherche; Dihya/backend/node/app/templates/recherche/template.js; Dihya/backend/node/app/routes/recherche; Dihya/backend/node/app/routes/recherche/routes.js; Dihya/backend/node/routes/recherche; Dihya/backend/node/routes/recherche/routes.js; Dihya/docs/metiers/recherche.md; docs/metiers/recherche.md
ressources_humaines,oui,non,"dossier,frontend_component,test,template,backend_route,doc",Dihya/frontend/src/components/metiers/ressources_humaines; Dihya/frontend/src/components/metiers/ressources_humaines/index.js; Dihya/frontend/src/tests/integration/ressources_humaines; Dihya/frontend/src/tests/integration/ressources_humaines/test_ressources_humaines.js; Dihya/frontend/src/generation/templates/ressources_humaines; Dihya/frontend/src/generation/templates/ressources_humaines/template.js; Dihya/backend/tests/integration/ressources_humaines; Dihya/backend/tests/integration/ressources_humaines/test_ressources_humaines_backend.py; Dihya/backend/django/tests/integration/ressources_humaines; Dihya/backend/django/tests/integration/ressources_humaines/test_ressources_humaines_django.py; Dihya/backend/django/app/tests/integration/ressources_humaines; Dihya/backend/django/app/tests/integration/ressources_humaines/test_ressources_humaines_django.py; Dihya/backend/django/app/templates/ressources_humaines; Dihya/backend/django/app/templates/ressources_humaines/template.py; Dihya/backend/django/app/routes/ressources_humaines; Dihya/backend/django/app/routes/ressources_humaines/routes.py; Dihya/backend/django/routes/ressources_humaines; Dihya/backend/django/routes/ressources_humaines/routes.py; Dihya/backend/flask/tests/integration/ressources_humaines; Dihya/backend/flask/tests/integration/ressources_humaines/test_ressources_humaines_flask.py; Dihya/backend/flask/app/tests/integration/ressources_humaines; Dihya/backend/flask/app/tests/integration/ressources_humaines/test_ressources_humaines_flask.py; Dihya/backend/flask/app/templates/ressources_humaines; Dihya/backend/flask/app/templates/ressources_humaines/template.py; Dihya/backend/flask/app/routes/ressources_humaines; Dihya/backend/flask/app/routes/ressources_humaines/routes.py; Dihya/backend/flask/routes/ressources_humaines; Dihya/backend/flask/routes/ressources_humaines/routes.py; Dihya/backend/routes/ressources_humaines; Dihya/backend/routes/ressources_humaines/routes.py; Dihya/backend/node/tests/integration/ressources_humaines; Dihya/backend/node/tests/integration/ressources_humaines/test_ressources_humaines.js; Dihya/backend/node/app/tests/integration/ressources_humaines; Dihya/backend/node/app/tests/integration/ressources_humaines/test_ressources_humaines.js; Dihya/backend/node/app/templates/ressources_humaines; Dihya/backend/node/app/templates/ressources_humaines/template.js; Dihya/backend/node/app/routes/ressources_humaines; Dihya/backend/node/app/routes/ressources_humaines/routes.js; Dihya/backend/node/routes/ressources_humaines; Dihya/backend/node/routes/ressources_humaines/routes.js; Dihya/docs/metiers/ressources_humaines.md; docs/metiers/ressources_humaines.md
